"No.","Ticker","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Price","Change","Volume"
134,"DGX",15953.98,18.05,15.52,,1.61,2.74,50.65,15.81,-48.60%,5.60%,11.00%,-7.74%,6.00%,142.88,-0.30%,886206
135,"DHI",33443.39,5.93,10.16,,0.99,1.63,12.91,31.03,44.60%,3.38%,43.20%,-9.70%,18.90%,95.64,-1.80%,3569568
136,"DHR",180599.38,25.56,22.30,7.71,5.74,3.72,30.13,27.58,13.70%,10.50%,25.70%,3.31%,15.20%,246.96,-0.30%,2042866
137,"DIS",182516.23,54.99,18.11,2.54,2.16,1.90,21.55,1941.66,57.80%,33.30%,-21.00%,21.64%,8.50%,99.97,0.06%,7036901
138,"DISH",4530.67,2.43,12.92,,0.27,0.26,1.73,12.42,-4.60%,-46.83%,15.30%,,3.00%,8.77,2.81%,9192000
139,"DLR",26277.86,78.93,71.71,49.33,5.60,1.56,185.32,,-80.90%,20.30%,2.70%,1.60%,13.80%,90.93,0.80%,2686036
140,"DLTR",32896.11,20.69,18.81,1.30,1.16,3.77,51.18,20.43,24.30%,19.45%,8.30%,15.86%,5.00%,149.04,0.23%,1404554
141,"DOV",19971.28,19.48,14.47,1.90,2.35,4.63,52.43,67.22,-4.10%,9.39%,11.00%,10.26%,4.50%,141.57,-0.92%,945533
142,"DOW",38684.52,8.75,11.25,,0.68,1.87,9.95,7.08,-25.10%,50.43%,39.60%,-2.61%,5.40%,54.66,0.04%,5021797
143,"DPZ",11629.80,26.33,22.28,2.29,2.56,,57.01,50.43,-7.50%,13.74%,16.50%,11.51%,10.20%,330.58,0.67%,717002
144,"DRI",18628.67,19.52,17.04,2.03,1.80,8.89,67.67,47.67,54.20%,10.53%,14.10%,9.60%,6.10%,149.70,-2.20%,1282217
145,"DTE",23110.41,20.65,17.03,2.79,1.20,2.20,700.32,18.87,34.60%,7.05%,-0.80%,7.40%,8.80%,113.85,1.53%,1753914
146,"DUK",76170.44,20.39,16.68,3.84,2.65,1.62,186.24,,-4.70%,6.16%,3.00%,5.30%,4.10%,99.74,0.91%,2879319
147,"DVA",7498.17,14.63,11.68,,0.65,10.43,23.30,7.80,-35.90%,15.22%,10.70%,-1.70%,1.30%,82.47,-0.57%,324141
148,"DVN",35008.43,5.80,7.54,,1.83,3.07,24.08,13.42,118.00%,2.21%,94.00%,-4.02%,24.10%,52.91,-1.16%,6233687
149,"DXC",5671.64,8.43,6.18,0.97,0.38,1.23,2.71,10.97,562.80%,14.96%,39.00%,8.67%,16.40%,24.74,-0.68%,1553432
150,"DXCM",43595.62,140.41,77.19,4.59,14.98,20.38,17.75,143.08,57.80%,39.96%,37.80%,30.60%,32.30%,112.47,-0.31%,1834680
151,"EA",34594.23,33.78,19.10,10.07,4.69,4.57,13.55,36.11,-3.80%,8.73%,-2.20%,3.35%,7.60%,125.16,-0.78%,1990974
152,"EBAY",23542.18,,9.62,,2.40,4.59,3.17,17.89,-700.70%,9.87%,-25.90%,5.15%,-0.30%,43.57,-0.64%,3629603
153,"ECL",47284.01,43.83,28.75,3.59,3.33,6.57,78.99,100.01,-2.50%,17.25%,-3.60%,12.23%,0.50%,167.04,0.57%,1102448
154,"ED",34127.83,21.20,19.02,3.46,2.18,1.70,26.62,12.27,21.10%,7.03%,2.60%,6.12%,5.40%,98.97,0.47%,1578578
155,"EFX",24570.89,34.80,21.59,2.75,4.80,6.09,86.15,,-6.20%,27.04%,4.90%,12.65%,8.80%,196.41,-1.50%,791730
156,"EIX",27648.99,45.55,14.20,6.51,1.61,2.03,30.25,,-20.00%,8.13%,-12.70%,7.00%,6.90%,72.56,0.42%,1349796
157,"EL",85529.08,58.49,33.01,7.82,5.23,14.62,22.96,1357.60,-16.00%,47.39%,14.40%,7.48%,8.40%,241.26,0.76%,1171472
158,"ELV",115000.32,19.51,13.07,1.51,0.73,3.18,15.57,19.11,0.30%,12.80%,19.40%,12.90%,11.70%,483.54,-0.24%,815898
159,"EMN",9757.73,12.86,9.14,2.39,0.92,1.87,19.79,16.79,1.60%,13.13%,-2.40%,5.38%,2.10%,80.93,-1.18%,948261
160,"EMR",47477.67,18.59,18.49,1.86,2.56,4.53,20.91,42.35,41.60%,10.60%,16.20%,10.00%,5.20%,83.30,0.25%,2964922
161,"ENPH",26323.62,69.76,26.02,3.48,11.29,31.52,16.32,37.69,170.30%,35.15%,86.70%,20.05%,52.10%,191.00,-1.38%,2898503
162,"EOG",70744.63,9.03,9.18,31.70,2.76,2.81,11.85,12.71,65.50%,6.12%,82.00%,0.28%,17.80%,119.37,-0.83%,2842728
163,"EPAM",16295.06,40.44,20.43,2.50,3.38,5.49,9.36,42.60,-13.10%,24.33%,21.50%,16.20%,27.20%,286.28,1.33%,363341
164,"EQIX",65305.14,92.67,67.99,5.25,8.99,5.72,,,38.60%,21.05%,68.00%,17.65%,10.70%,711.23,1.05%,272740
165,"EQR",22568.74,29.08,35.27,1.87,8.25,2.04,418.71,43.49,-42.00%,9.29%,4.80%,15.51%,2.00%,60.14,0.89%,1054552
166,"EQT",11747.57,9.77,6.13,0.34,1.57,1.05,8.05,6.31,223.20%,98.60%,47.00%,29.11%,19.40%,32.12,-1.47%,5491046
167,"ES",28075.25,19.97,17.30,2.98,2.30,1.82,74.95,,14.20%,7.01%,5.40%,6.70%,9.50%,80.82,0.37%,1175874
168,"ESS",13500.96,33.38,35.19,4.23,8.40,2.37,405.43,34.81,-16.40%,8.96%,-0.90%,7.90%,3.30%,209.74,0.14%,382144
169,"ETN",63151.56,25.44,17.10,2.88,3.04,3.65,113.79,99.29,15.10%,10.39%,-1.20%,8.83%,0.30%,156.25,-1.40%,2653185
170,"ETR",23451.29,20.61,15.41,3.12,1.70,1.78,104.60,13.46,-3.10%,7.33%,-0.10%,6.60%,4.40%,110.97,0.36%,917114
171,"ETSY",13121.97,,31.45,,5.11,,11.20,19.38,-262.00%,27.61%,59.30%,16.00%,42.20%,104.06,-1.15%,3120459
172,"EVRG",14498.47,19.38,15.93,7.26,2.47,1.53,575.34,,-14.70%,8.91%,7.50%,2.67%,17.90%,63.29,0.22%,2094955
173,"EW",50578.80,34.39,29.42,3.85,9.40,8.86,41.62,51.95,2.40%,13.22%,12.50%,8.93%,9.40%,83.88,0.52%,1594874
174,"EXC",42685.38,20.70,17.19,1.29,2.24,1.73,104.88,,36.50%,5.79%,-12.20%,16.00%,-10.70%,43.06,0.30%,8745467
175,"EXPD",16315.55,12.79,20.50,,0.96,5.33,8.02,8.41,-0.10%,-6.27%,27.20%,,19.80%,105.35,-0.27%,1280047
