"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
156,"EIX",27648.99,4.07%,0.90%,4.90%,3.60%,0.70,0.60,1.98,2.32,63.00%,8.60%,3.90%,5/2/2023 4:30:00 PM,72.56,0.42%,1349796
157,"EL",85529.08,1.09%,7.20%,25.80%,23.10%,1.70,1.10,0.87,0.91,73.90%,12.40%,9.10%,5/3/2023 8:30:00 AM,241.26,0.76%,1171472
158,"ELV",115000.32,1.22%,5.90%,16.70%,11.40%,,,0.62,0.66,,5.50%,3.80%,4/19/2023 8:30:00 AM,483.54,-0.24%,815898
159,"EMN",9757.73,3.90%,5.30%,14.60%,9.50%,1.20,0.60,0.78,1.00,20.20%,11.00%,7.50%,4/27/2023 4:30:00 PM,80.93,-1.18%,948261
160,"EMR",47477.67,2.50%,13.50%,44.50%,11.90%,1.10,0.90,0.76,0.93,43.10%,16.50%,25.20%,2/8/2023 8:30:00 AM,83.30,0.25%,2964922
161,"ENPH",26323.62,,15.20%,71.70%,18.60%,3.50,3.30,1.45,1.56,41.80%,19.20%,17.00%,2/7/2023 4:30:00 PM,191.00,-1.38%,2898503
162,"EOG",70744.63,2.76%,19.60%,33.60%,26.20%,1.90,1.70,0.15,0.20,63.10%,38.90%,30.30%,5/5/2023 8:30:00 AM,119.37,-0.83%,2842728
163,"EPAM",16295.06,,11.30%,15.30%,16.00%,3.70,3.70,0.01,0.01,31.90%,11.90%,8.70%,5/5/2023 8:30:00 AM,286.28,1.33%,363341
164,"EQIX",65305.14,1.92%,2.40%,6.40%,4.10%,1.80,1.80,1.29,1.31,48.30%,16.50%,9.70%,5/3/2023 4:30:00 PM,711.23,1.05%,272740
165,"EQR",22568.74,4.41%,3.80%,7.10%,6.00%,,,0.66,0.67,64.10%,40.80%,28.30%,4/25/2023 4:30:00 PM,60.14,0.89%,1054552
166,"EQT",11747.57,1.87%,7.90%,18.60%,12.00%,1.10,1.10,0.47,0.51,67.80%,,23.60%,2/15/2023 4:30:00 PM,32.12,-1.47%,5491046
167,"ES",28075.25,3.34%,2.80%,9.30%,4.50%,0.60,0.60,1.30,1.49,,18.00%,11.50%,2/13/2023 4:30:00 PM,80.82,0.37%,1175874
168,"ESS",13500.96,4.41%,3.20%,7.00%,,,,1.04,1.04,70.90%,37.00%,25.40%,4/27/2023 4:30:00 PM,209.74,0.14%,382144
169,"ETN",63151.56,2.20%,7.00%,14.90%,10.20%,1.40,0.80,0.49,0.51,33.20%,14.70%,11.90%,2/8/2023 8:30:00 AM,156.25,-1.40%,2653185
170,"ETR",23451.29,3.86%,1.90%,9.10%,5.30%,0.60,0.40,1.82,2.06,87.50%,14.90%,8.00%,2/16/2023 8:30:00 AM,110.97,0.36%,917114
171,"ETSY",13121.97,,-22.30%,,-37.30%,2.40,2.40,,,71.00%,-25.70%,-27.10%,2/22/2023 4:30:00 PM,104.06,-1.15%,3120459
172,"EVRG",14498.47,3.87%,2.60%,8.00%,5.70%,0.50,0.30,1.05,1.27,,21.60%,12.80%,2/24/2023 8:30:00 AM,63.29,0.22%,2094955
173,"EW",50578.80,,18.00%,25.60%,23.50%,3.00,2.20,0.10,0.10,80.00%,32.50%,28.30%,4/26/2023 4:30:00 PM,83.88,0.52%,1594874
174,"EXC",42685.38,3.34%,2.30%,9.00%,4.60%,0.70,0.60,1.44,1.62,66.90%,17.40%,11.40%,2/14/2023 8:30:00 AM,43.06,0.30%,8745467
175,"EXPD",16315.55,1.27%,19.70%,38.90%,43.40%,2.20,2.20,0.00,0.00,26.30%,10.70%,8.00%,5/2/2023 8:30:00 AM,105.35,-0.27%,1280047
176,"EXPE",14030.10,,1.50%,16.50%,11.10%,0.80,0.80,2.73,2.73,85.80%,9.80%,3.00%,2/9/2023 4:30:00 PM,91.70,0.23%,1594436
177,"EXR",13610.87,3.98%,7.50%,26.60%,9.60%,,,2.25,2.25,75.60%,54.60%,44.70%,2/22/2023 4:30:00 PM,162.79,1.73%,2199524
178,"F",49719.49,4.87%,-0.80%,-4.50%,3.90%,1.20,1.10,2.05,3.21,10.90%,3.90%,-1.30%,5/2/2023 4:30:00 PM,12.33,-0.80%,36311958
179,"FANG",26249.12,6.80%,17.90%,31.60%,24.60%,0.80,0.80,0.42,0.42,84.20%,66.50%,45.00%,5/1/2023 4:30:00 PM,140.55,-1.70%,1682361
180,"FAST",29410.01,2.72%,23.80%,34.40%,29.60%,4.00,1.80,0.11,0.18,46.10%,20.80%,15.60%,4/13/2023 8:30:00 AM,51.48,-0.06%,3076479
181,"FCX",57685.61,0.74%,6.90%,22.90%,18.30%,2.50,1.60,0.62,0.68,33.80%,31.00%,15.20%,1/25/2023 8:30:00 AM,40.29,-0.07%,8094296
182,"FDS",15405.93,0.88%,11.20%,31.50%,12.90%,2.10,2.10,1.08,1.08,53.60%,28.40%,22.30%,3/23/2023 8:30:00 AM,404.78,0.68%,205111
183,"FDX",57792.90,2.17%,3.50%,12.10%,11.40%,1.30,1.30,0.81,0.82,68.40%,5.80%,3.20%,3/16/2023 4:30:00 PM,232.10,0.94%,3674541
184,"FE",23835.72,3.74%,0.90%,4.00%,2.50%,0.60,0.50,2.09,2.13,69.00%,14.50%,3.30%,4/27/2023 4:30:00 PM,41.70,0.22%,3634967
185,"FFIV",8107.19,,5.90%,12.30%,12.10%,1.10,1.10,0.00,0.00,79.30%,14.10%,11.10%,4/19/2023 4:30:00 PM,146.71,-0.33%,438735
186,"FIS",31798.53,3.75%,-22.10%,-40.30%,-34.80%,0.80,0.80,0.52,0.74,39.30%,,,2/13/2023 8:30:00 AM,55.43,3.18%,5721699
187,"FISV",70563.45,,3.20%,8.20%,6.10%,1.00,1.00,0.68,0.69,54.90%,21.10%,14.30%,2/7/2023 8:30:00 AM,113.01,0.60%,2456059
188,"FITB",17487.16,5.06%,1.10%,14.40%,15.20%,,,0.90,0.90,,76.60%,35.30%,4/20/2023 8:30:00 AM,26.08,1.20%,8323633
189,"FLT",15247.87,,6.60%,36.80%,11.70%,1.00,1.00,1.86,2.77,,42.20%,27.80%,2/8/2023 4:30:00 PM,207.68,0.10%,267029
190,"FMC",15252.21,1.98%,6.70%,23.10%,15.00%,1.40,1.00,0.81,0.97,40.10%,19.70%,12.70%,5/1/2023 4:30:00 PM,116.92,-4.07%,1595865
191,"FOX",17316.21,1.63%,,,,,,,,,,,2/8/2023 8:30:00 AM,30.74,-0.90%,755582
192,"FOXA",17469.60,1.49%,6.70%,13.20%,10.60%,3.40,2.90,0.62,0.00,36.60%,18.20%,10.50%,2/8/2023 8:30:00 AM,33.45,-0.86%,2604121
193,"FRC",2458.48,7.70%,0.80%,11.50%,28.20%,,,0.09,0.09,,82.60%,26.30%,4/24/2023 4:30:00 PM,14.03,4.39%,23019504
194,"FRT",7957.01,4.42%,4.70%,14.10%,7.30%,,,1.57,1.57,66.80%,49.00%,35.00%,2/8/2023 4:30:00 PM,97.74,0.12%,292373
195,"FSLR",21536.95,,-0.60%,-0.80%,-1.30%,3.70,3.10,0.03,0.03,4.90%,-1.00%,-1.70%,2/28/2023 4:30:00 PM,204.51,1.44%,1483562
196,"FTNT",51082.01,,15.20%,-314.20%,132.40%,1.20,1.20,,,75.40%,21.90%,19.40%,5/4/2023 4:30:00 PM,65.52,0.57%,2772170
197,"FTV",22855.52,0.44%,4.70%,7.90%,6.70%,0.90,0.70,0.23,0.34,57.70%,16.90%,13.00%,4/26/2023 8:30:00 AM,64.36,-0.54%,1617312
198,"GD",62904.89,2.32%,6.60%,18.90%,12.20%,1.40,1.00,0.51,0.58,16.80%,10.70%,8.60%,4/26/2023 8:30:00 AM,227.71,-0.55%,1511404
199,"GE",102758.76,0.34%,0.00%,-0.20%,-1.00%,1.20,0.90,0.79,0.89,25.80%,-0.30%,-0.10%,4/25/2023 8:30:00 AM,93.60,-0.69%,6403418
200,"GEHC",36822.30,,,,11.10%,1.20,0.90,0.88,0.88,39.10%,13.80%,10.40%,4/25/2023 8:30:00 AM,80.16,-1.18%,1356673
201,"GEN",10999.44,2.90%,5.00%,84.70%,21.90%,0.50,0.50,7.50,7.68,83.90%,31.90%,17.80%,2/2/2023 4:30:00 PM,17.27,0.35%,2346163
202,"GILD",104463.45,3.60%,7.30%,22.30%,13.10%,1.30,1.20,1.08,1.19,79.30%,26.90%,16.80%,2/2/2023 4:30:00 PM,83.37,-0.33%,3724871
203,"GIS",51135.44,2.49%,9.00%,27.00%,13.50%,0.50,0.30,0.80,1.13,33.00%,18.70%,14.00%,3/23/2023 8:30:00 AM,86.90,-0.18%,3556201
204,"GL",10448.62,0.84%,2.80%,13.80%,11.90%,,,0.33,0.42,,19.10%,14.20%,2/1/2023 4:30:00 PM,107.74,-0.47%,667556
205,"GLW",29026.26,3.28%,4.50%,11.10%,5.40%,1.40,0.90,0.56,0.58,31.80%,10.10%,9.30%,4/25/2023 8:30:00 AM,34.10,-0.47%,3104699
206,"GM",48937.93,1.04%,3.50%,13.80%,4.30%,1.10,0.90,1.12,1.69,13.40%,6.20%,5.70%,4/25/2023 8:30:00 AM,34.59,-1.42%,10063192
207,"GNRC",6161.65,,6.70%,15.10%,12.60%,2.20,0.80,0.61,0.63,33.30%,12.30%,7.70%,2/15/2023 8:30:00 AM,99.80,0.23%,1412858
208,"GOOG",1391399.60,,,,,,,,,,,,2/2/2023 4:30:00 PM,108.90,3.76%,34652327
209,"GOOGL",1340811.69,,16.70%,23.50%,23.40%,2.40,2.30,0.06,0.06,55.40%,26.50%,21.20%,2/2/2023 4:30:00 PM,108.42,3.78%,48644205
210,"GPC",22832.80,2.34%,7.20%,32.20%,17.20%,1.10,0.60,0.81,0.88,35.00%,7.30%,5.40%,4/20/2023 8:30:00 AM,162.28,0.07%,859798
211,"GPN",27415.33,0.95%,0.30%,0.50%,1.30%,0.90,0.90,0.55,0.64,57.90%,7.10%,1.20%,2/10/2023 8:30:00 AM,105.10,1.13%,1567060
212,"GRMN",18791.28,2.98%,12.60%,16.10%,15.10%,3.30,2.00,0.00,0.00,57.70%,21.10%,20.00%,5/3/2023 8:30:00 AM,98.05,-0.15%,562273
213,"GS",107323.73,3.10%,0.70%,10.10%,1.20%,,,2.39,7.98,61.20%,19.60%,15.70%,4/18/2023 8:30:00 AM,322.40,0.27%,1310654
214,"GWW",32480.83,1.07%,21.50%,68.50%,35.30%,2.50,1.40,0.94,0.95,38.40%,14.50%,10.20%,4/27/2023 8:30:00 AM,641.66,-0.71%,318621
215,"HAL",29888.76,1.96%,7.00%,21.20%,13.40%,2.00,1.50,1.00,0.00,16.30%,13.10%,7.70%,4/25/2023 8:30:00 AM,32.71,-1.06%,5831279
216,"HAS",7199.06,5.39%,2.10%,6.90%,5.10%,1.40,1.10,1.31,1.40,59.20%,7.00%,3.50%,4/27/2023 8:30:00 AM,51.93,-0.02%,932123
217,"HBAN",16004.05,5.54%,1.20%,13.60%,17.80%,,,0.61,0.61,,83.50%,35.60%,4/20/2023 8:30:00 AM,11.19,1.36%,14405821
218,"HCA",75221.31,0.89%,10.90%,-190.50%,20.50%,1.40,1.20,,,84.40%,14.90%,9.40%,4/21/2023 8:30:00 AM,270.59,-0.27%,912080
219,"HD",292327.28,2.90%,22.40%,,41.70%,1.40,0.30,26.86,27.65,33.50%,15.30%,10.90%,2/21/2023 8:30:00 AM,288.61,-0.02%,3192832
220,"HES",43541.78,1.24%,9.90%,29.10%,16.50%,1.60,1.60,1.08,1.08,68.40%,33.50%,18.50%,4/26/2023 8:30:00 AM,140.88,-0.94%,1463271
221,"HIG",21678.96,2.43%,2.50%,13.00%,11.50%,,,0.33,0.00,,11.00%,8.00%,4/27/2023 4:30:00 PM,69.86,0.88%,1246141
222,"HII",8290.55,2.41%,5.40%,18.80%,6.60%,0.90,0.90,0.72,0.83,13.50%,5.30%,5.40%,5/4/2023 8:30:00 AM,206.13,-0.74%,381125
223,"HLT",37167.10,0.43%,8.10%,-143.30%,21.20%,0.90,0.90,,,42.10%,23.90%,14.30%,4/26/2023 8:30:00 AM,140.63,0.82%,1294259
224,"HOLX",20239.38,,10.60%,20.00%,17.50%,4.20,3.50,0.55,0.56,59.30%,28.20%,22.20%,5/1/2023 4:30:00 PM,82.86,0.94%,1214707
225,"HON",126566.39,2.16%,8.00%,28.30%,13.70%,1.30,1.00,0.91,1.17,32.80%,18.00%,14.00%,4/27/2023 8:30:00 AM,190.46,0.54%,2781294
226,"HPE",20617.37,3.03%,1.50%,4.20%,2.20%,0.80,0.60,0.38,0.65,33.50%,3.00%,2.90%,3/2/2023 4:30:00 PM,15.86,-0.31%,6339030
227,"HPQ",28972.20,3.58%,6.80%,-95.90%,42.50%,0.70,0.40,,,19.70%,6.80%,4.40%,2/28/2023 4:30:00 PM,29.29,-0.41%,3965612
228,"HRL",22128.98,2.73%,7.40%,13.10%,9.60%,2.30,1.10,0.43,0.43,17.10%,10.40%,7.90%,3/2/2023 8:30:00 AM,40.31,-0.44%,2743219
229,"HSIC",11025.07,,6.30%,15.10%,12.60%,1.80,0.90,0.30,0.33,30.30%,5.90%,4.30%,2/16/2023 8:30:00 AM,84.73,0.89%,890739
230,"HST",11472.76,2.99%,5.20%,9.40%,6.90%,,,0.63,0.63,,15.80%,12.90%,5/3/2023 4:30:00 PM,16.08,0.00%,4420975
231,"HSY",52932.92,1.59%,15.30%,54.00%,22.30%,0.80,0.40,1.01,1.45,43.20%,19.90%,15.80%,4/27/2023 8:30:00 AM,259.87,0.17%,986235
232,"HUM",64569.87,0.68%,6.00%,18.00%,12.20%,,,0.59,0.75,,4.30%,3.00%,4/26/2023 8:30:00 AM,519.97,0.72%,1057772
233,"HWM",17340.89,0.39%,4.60%,13.80%,9.30%,2.10,1.00,1.17,1.17,27.50%,15.00%,8.20%,2/14/2023 8:30:00 AM,41.55,-1.33%,2736364
234,"IBM",119864.25,5.06%,1.30%,8.10%,2.50%,0.90,0.90,2.10,2.32,54.00%,1.90%,2.70%,4/19/2023 4:30:00 PM,130.50,-1.24%,3049898
235,"ICE",59453.07,1.55%,0.70%,6.40%,8.10%,1.10,1.10,0.80,0.80,75.70%,37.70%,15.00%,5/4/2023 8:30:00 AM,108.25,1.91%,3103542
236,"IDXX",39554.65,,25.70%,124.50%,36.70%,0.90,0.60,1.14,2.22,59.50%,26.70%,20.20%,2/6/2023 8:30:00 AM,472.52,-0.87%,529736
237,"IEX",16450.68,1.11%,11.60%,20.40%,13.80%,2.60,1.70,0.48,0.00,44.80%,24.70%,18.40%,4/26/2023 4:30:00 PM,216.77,-0.49%,263088
238,"IFF",23038.08,3.54%,-5.00%,-9.90%,-5.50%,2.00,1.10,0.59,0.62,33.40%,-10.70%,-15.00%,2/8/2023 4:30:00 PM,91.45,1.25%,1470930
239,"ILMN",36485.61,,-32.50%,-50.80%,-45.50%,1.30,1.10,0.23,0.41,64.80%,-91.20%,-96.10%,4/25/2023 4:30:00 PM,229.99,-0.40%,1035443
240,"INCY",16450.61,,6.30%,8.20%,8.90%,3.50,3.50,0.01,0.01,94.50%,17.10%,10.00%,2/7/2023 8:30:00 AM,75.51,2.34%,1632621
241,"INTC",136935.82,1.52%,4.60%,7.90%,2.50%,1.60,1.20,0.37,0.41,42.60%,5.30%,12.70%,4/27/2023 4:30:00 PM,32.81,-0.06%,28518482
242,"INTU",123203.01,0.70%,7.00%,11.90%,9.00%,1.20,1.20,0.42,0.45,79.00%,19.50%,14.20%,2/23/2023 4:30:00 PM,446.76,1.73%,1673564
243,"INVH",19082.31,3.30%,2.10%,3.70%,3.40%,,,0.76,0.76,60.90%,27.80%,17.10%,2/15/2023 4:30:00 PM,31.49,0.90%,1928502
244,"IP",12392.04,5.17%,6.10%,16.80%,13.00%,1.40,1.00,0.57,0.66,28.40%,7.50%,7.10%,4/27/2023 8:30:00 AM,35.78,0.87%,2690949
245,"IPG",14260.39,3.35%,5.30%,26.80%,16.00%,1.00,1.00,0.79,0.80,16.90%,12.50%,8.60%,2/9/2023 8:30:00 AM,36.99,-0.11%,4352998
246,"IQV",36686.79,,4.40%,19.50%,8.20%,0.90,0.90,2.18,2.21,34.90%,12.50%,7.60%,4/27/2023 8:30:00 AM,195.83,-0.64%,632520
247,"IR",22227.85,0.15%,4.10%,6.80%,5.60%,2.40,1.80,0.30,0.30,39.30%,13.80%,10.20%,2/21/2023 8:30:00 AM,54.46,-0.78%,1887441
248,"IRM",15039.65,4.73%,3.50%,86.70%,8.70%,0.80,0.80,16.46,16.60,68.40%,20.60%,10.90%,2/23/2023 8:30:00 AM,52.29,1.38%,1154226
249,"ISRG",90362.00,,9.90%,11.30%,11.90%,4.40,3.80,0.00,0.00,67.40%,25.30%,21.30%,4/18/2023 4:30:00 PM,256.90,-0.42%,1026511
250,"IT",24758.01,,11.80%,,32.70%,0.80,0.80,10.77,10.81,69.10%,20.10%,14.80%,5/2/2023 8:30:00 AM,313.75,0.19%,477832
251,"ITW",69928.95,2.30%,19.40%,92.90%,29.20%,1.40,0.90,2.00,2.51,40.80%,23.80%,19.00%,2/2/2023 8:30:00 AM,227.70,-0.75%,1061449
252,"IVZ",7203.64,4.74%,2.30%,6.10%,5.20%,,,0.72,0.72,68.80%,21.80%,11.30%,4/25/2023 8:30:00 AM,15.82,0.70%,2221548
253,"J",14243.26,0.92%,4.30%,10.60%,8.00%,1.50,1.50,0.56,0.56,21.80%,6.40%,4.20%,2/7/2023 8:30:00 AM,112.97,0.51%,467640
254,"JBHT",17667.82,0.99%,13.10%,28.20%,20.70%,1.40,1.40,0.34,0.34,17.60%,9.00%,6.50%,4/17/2023 4:30:00 PM,170.03,-0.14%,562741
255,"JCI",38278.56,2.57%,3.00%,7.80%,7.70%,1.00,0.80,0.49,0.61,33.50%,6.30%,5.00%,2/1/2023 8:30:00 AM,55.98,0.50%,7828883
256,"JKHY",10741.53,1.40%,14.30%,24.80%,24.40%,1.20,1.20,0.18,0.18,41.30%,23.20%,17.70%,2/7/2023 4:30:00 PM,148.61,0.98%,456162
257,"JNJ",430319.78,2.74%,10.00%,23.70%,15.40%,1.00,0.80,0.35,0.52,67.40%,22.90%,18.90%,4/18/2023 8:30:00 AM,165.15,-0.28%,9613580
258,"JNPR",11025.39,2.61%,5.20%,10.90%,8.30%,1.70,1.40,0.36,0.36,55.80%,10.70%,8.90%,4/25/2023 4:30:00 PM,33.69,-1.81%,3266191
259,"JPM",375601.83,3.14%,0.90%,14.00%,6.50%,,,1.07,1.07,,65.00%,38.70%,4/14/2023 8:30:00 AM,127.47,-0.11%,8751645
260,"K",23311.73,3.47%,5.10%,23.80%,13.20%,0.70,0.40,1.35,1.67,30.10%,10.70%,6.30%,5/4/2023 8:30:00 AM,67.99,-0.06%,1559590
261,"KDP",49788.37,2.24%,2.80%,5.70%,5.50%,0.50,0.30,0.47,0.51,52.20%,16.90%,10.20%,4/27/2023 8:30:00 AM,35.64,0.68%,8511625
262,"KEY",10691.37,6.88%,1.00%,15.10%,11.90%,,,1.76,1.76,,74.40%,33.20%,4/20/2023 8:30:00 AM,11.91,3.03%,19047519
263,"KEYS",27782.68,,14.40%,28.40%,19.70%,3.10,2.40,0.41,0.41,63.60%,25.00%,20.80%,2/21/2023 4:30:00 PM,155.75,-0.13%,869655
264,"KHC",47877.61,4.09%,2.60%,4.80%,4.50%,0.90,0.50,0.40,0.41,31.10%,13.80%,8.90%,2/15/2023 8:30:00 AM,39.14,0.31%,4977762
265,"KIM",11852.39,4.82%,0.50%,1.00%,2.90%,,,0.75,0.75,69.30%,31.40%,5.70%,4/27/2023 8:30:00 AM,19.07,-0.26%,3177280
266,"KLAC",52845.79,1.39%,27.50%,139.00%,43.30%,2.30,1.60,2.35,0.00,62.40%,39.70%,33.80%,4/26/2023 4:30:00 PM,374.66,-1.82%,746536
267,"KMB",45778.75,3.46%,10.70%,339.00%,23.70%,0.80,0.50,14.33,15.87,30.80%,13.30%,9.60%,4/25/2023 8:30:00 AM,136.49,0.61%,1465650
268,"KMI",39812.43,6.27%,3.60%,8.30%,5.40%,0.50,0.50,0.92,1.03,38.00%,21.20%,13.20%,1/18/2023 4:30:00 PM,17.71,0.00%,7978846
