"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
393,"RE",14212.43,1.82%,1.50%,6.80%,10.00%,,,0.37,0.37,,9.20%,4.70%,5/2/2023 8:30:00 AM,362.10,-0.25%,252222
394,"REG",10322.76,4.31%,4.40%,7.90%,4.80%,,,0.61,0.61,71.70%,38.60%,39.40%,5/4/2023 4:30:00 PM,60.30,0.07%,594526
395,"REGN",90215.55,,15.70%,20.50%,16.60%,5.10,4.30,0.12,0.12,87.20%,38.90%,35.60%,5/4/2023 8:30:00 AM,828.73,0.43%,549988
396,"RF",17093.16,4.36%,1.30%,14.80%,23.40%,,,0.16,0.16,,88.50%,42.10%,4/21/2023 8:30:00 AM,18.36,0.38%,6509222
397,"RHI",8081.89,2.59%,22.40%,44.00%,41.40%,1.90,1.90,0.00,0.00,42.70%,12.30%,9.10%,1/26/2023 4:30:00 PM,74.01,-1.37%,813381
398,"RJF",19334.45,1.88%,2.00%,16.90%,2.30%,,,0.33,5.69,93.20%,18.40%,13.60%,4/26/2023 4:30:00 PM,89.35,-0.48%,1333300
399,"RL",7511.38,2.68%,7.20%,21.40%,14.20%,2.10,1.40,0.59,0.60,65.30%,10.90%,8.00%,2/9/2023 8:30:00 AM,112.06,-1.56%,825837
400,"RMD",32489.93,0.79%,14.80%,23.40%,19.80%,3.20,1.80,0.48,0.48,56.70%,27.80%,21.50%,4/27/2023 4:30:00 PM,221.85,0.32%,368730
401,"ROK",31354.40,1.73%,9.90%,40.20%,14.00%,1.00,0.70,0.98,1.38,40.20%,16.00%,13.60%,1/26/2023 8:30:00 AM,272.15,-0.37%,551776
402,"ROL",19000.26,1.34%,17.30%,31.30%,27.50%,0.70,0.60,0.03,0.04,51.50%,18.30%,13.70%,2/15/2023 4:30:00 PM,38.78,0.57%,1154279
403,"ROP",46471.76,0.63%,17.80%,31.80%,5.40%,0.70,0.60,0.37,0.42,69.90%,28.40%,84.60%,4/27/2023 8:30:00 AM,435.70,-0.39%,363451
404,"ROST",36414.34,1.26%,11.40%,36.40%,22.50%,1.90,1.30,0.57,0.57,25.40%,10.60%,8.10%,2/28/2023 4:30:00 PM,106.22,-0.23%,1709010
405,"RSG",42765.85,1.46%,5.40%,15.90%,9.50%,0.70,0.70,1.17,1.22,39.30%,17.70%,11.00%,4/27/2023 4:30:00 PM,135.70,0.35%,919824
406,"RTX",144506.19,2.24%,3.30%,7.30%,4.50%,1.10,0.80,0.42,0.44,20.40%,8.10%,7.70%,4/25/2023 8:30:00 AM,98.21,-0.56%,3430354
407,"SBAC",27897.42,1.31%,4.50%,-8.60%,11.30%,0.70,0.70,,,74.60%,35.10%,17.50%,2/21/2023 4:30:00 PM,259.68,0.57%,336375
408,"SBUX",120562.05,2.03%,11.70%,-38.20%,57.90%,0.80,0.50,,,25.80%,14.30%,10.10%,5/2/2023 4:30:00 PM,104.68,-0.21%,3154407
409,"SCHW",86393.09,2.03%,1.10%,21.30%,1.70%,,,0.77,15.04,93.10%,42.10%,29.70%,4/17/2023 8:30:00 AM,49.35,0.98%,28056108
410,"SEDG",15659.81,,2.40%,4.50%,2.90%,3.30,2.40,0.31,0.00,27.20%,5.30%,3.00%,2/13/2023 4:30:00 PM,280.24,0.48%,624009
411,"SEE",6764.75,1.71%,8.00%,206.50%,17.30%,1.00,0.60,9.41,10.69,31.40%,16.50%,8.70%,5/2/2023 8:30:00 AM,46.87,-0.26%,1134499
412,"SHW",57502.38,1.08%,9.10%,79.50%,15.10%,1.00,0.60,3.09,3.41,42.10%,11.80%,9.10%,4/25/2023 8:30:00 AM,223.98,0.52%,1366221
413,"SJM",16773.18,2.61%,4.40%,8.70%,6.40%,1.20,0.50,0.52,0.52,32.20%,13.10%,8.50%,2/28/2023 8:30:00 AM,156.51,-0.50%,796398
414,"SLB",72003.58,2.02%,8.00%,20.70%,12.40%,1.20,0.90,0.60,0.69,18.40%,15.90%,12.20%,4/21/2023 8:30:00 AM,49.62,-2.13%,6733722
415,"SNA",12206.25,2.83%,13.20%,20.90%,16.50%,3.50,2.40,0.26,0.27,52.30%,24.90%,18.80%,4/20/2023 8:30:00 AM,228.71,-0.44%,315979
