No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
109,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,18477.25,49.29,372.3,-0.35%,286356,25.9,4.93,5.47,2.51,156.32,43.62,-86.90%,12.57%,0.60%,10.00%,9.10%,0.02%,3.20%,5.20%,4.20%,1.7,1.0,0.36,0.37,65.30%,15.60%,11.10%,3/2/2023 4:30:00 PM,49.4,49.08,0.56%,-13.07%,,-4.05%,2.71%,4.3,309.22,1.31%,11.03%,9.71%,34.18%,-11.47%,12.59%,1.75%,2.48%,2.4,0.93,0.91,8.51,6.01%,7.77%,17.94%,-12.27%,52.45%,65.49,-0.26%,-0.09%
110,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,130579.73,7.3,106.26,-1.38%,5086616,9.91,,1.66,2.74,14.13,10.51,140.30%,5.96%,65.60%,-10.12%,21.60%,5.03%,19.90%,38.00%,26.10%,1.5,1.4,0.34,0.35,47.80%,34.20%,23.80%,5/4/2023 8:30:00 AM,1238.89,1210.06,0.10%,-0.50%,83.40%,-0.14%,1.09%,1.92,6891.58,7.06%,-0.29%,-8.44%,-7.20%,12.17%,-9.39%,2.40%,3.16%,2.0,0.74,1.31,3.45,6.67%,0.20%,-1.48%,-22.32%,39.38%,56.52,-0.60%,-0.79%
111,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,220469.69,35.71,485.98,-2.24%,4112354,31.01,3.85,0.94,9.46,16.09,56.14,16.60%,8.29%,16.70%,9.28%,12.00%,0.74%,9.30%,28.50%,20.40%,1.1,0.6,0.29,0.29,12.10%,3.40%,2.60%,3/2/2023 4:30:00 PM,443.88,441.63,0.20%,-1.69%,69.10%,0.26%,0.80%,1.8,1950.19,-1.12%,-0.01%,7.95%,1.18%,-15.53%,6.46%,1.43%,1.66%,2.1,2.11,0.79,8.96,-0.48%,-1.80%,-2.57%,-20.63%,19.55%,45.33,0.83%,-3.04%
112,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,16638.78,20.54,55.47,-0.16%,1532885,17.65,3.78,1.81,4.61,105.31,38.69,-24.20%,4.39%,-3.60%,5.44%,8.00%,2.67%,6.80%,23.60%,11.60%,0.8,0.3,1.11,1.27,30.80%,13.60%,8.90%,3/8/2023 8:30:00 AM,299.0,192.1,0.30%,-8.48%,52.90%,-0.21%,7.18%,5.71,2415.74,1.97%,4.38%,-1.19%,16.56%,23.60%,-2.26%,1.28%,1.62%,3.3,0.63,0.33,0.84,2.48%,5.11%,7.90%,-3.99%,25.07%,64.11,-0.48%,0.32%
113,CPRT,"Copart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,35591.57,33.13,74.38,-0.40%,1632232,28.25,1.49,9.69,6.8,,44.94,16.00%,10.21%,22.10%,22.30%,19.30%,,19.40%,22.70%,23.90%,5.4,5.3,0.0,0.0,43.90%,37.00%,29.50%,2/20/2023 4:30:00 PM,476.38,427.93,9.50%,-0.07%,82.60%,-0.09%,0.81%,1.77,1964.18,1.22%,4.44%,22.84%,31.89%,17.74%,22.15%,1.72%,1.87%,1.6,0.83,1.23,1.33,3.86%,6.17%,19.37%,-2.43%,45.54%,62.59,0.32%,-0.72%
114,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,11042.58,17.33,104.56,1.03%,342073,58.06,0.69,7.76,2.27,1032.02,,103.80%,15.30%,23.30%,25.29%,9.60%,3.83%,7.10%,13.50%,7.20%,,,0.69,0.74,62.80%,43.90%,45.90%,4/27/2023 4:30:00 PM,108.48,105.47,1.14%,-1.06%,99.00%,-0.38%,1.63%,1.9,903.95,1.31%,-7.78%,-4.66%,-12.44%,-37.73%,-6.54%,1.68%,2.45%,2.2,0.38,0.8,2.38,0.82%,-7.57%,-13.38%,-39.77%,6.98%,45.07,0.65%,0.38%
115,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA,10018.23,20.75,196.59,0.43%,508814,16.09,2.17,2.52,3.36,42.65,33.97,24.70%,19.59%,17.90%,9.56%,16.40%,,6.60%,17.90%,9.50%,1.3,1.1,0.91,0.91,36.80%,16.40%,12.20%,2/22/2023 8:30:00 AM,50.91,50.37,0.10%,-42.58%,98.61%,3.40%,2.59%,2.25,578.78,-0.73%,-10.15%,-10.67%,-8.75%,-31.90%,-9.78%,2.65%,3.52%,1.7,0.88,1.35,6.86,-0.75%,-11.80%,-10.56%,-36.20%,8.40%,40.6,0.52%,-0.08%
116,CRM,"Salesforce, Inc.",Technology,Software - Application,USA,195309.24,934.71,192.55,-1.41%,6302822,21.68,47.78,6.23,3.25,15.61,30.94,-85.90%,24.67%,-20.60%,19.56%,24.40%,,0.20%,0.40%,0.10%,1.0,1.0,0.16,0.18,73.30%,1.70%,0.70%,3/1/2023 4:30:00 PM,984.0,967.51,0.10%,-26.82%,79.50%,-0.92%,1.11%,1.21,8898.74,-2.06%,5.25%,41.23%,23.25%,-8.37%,45.22%,1.81%,2.36%,2.1,0.71,1.25,4.57,2.18%,8.55%,18.53%,-6.29%,52.41%,59.05,-0.75%,-0.67%
117,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,212245.5,18.78,51.27,-1.06%,14746425,12.73,2.57,3.99,5.07,9.62,23.06,12.70%,7.30%,8.20%,7.32%,1.40%,3.04%,12.00%,27.90%,22.90%,1.4,1.3,0.18,0.21,61.90%,26.10%,21.30%,2/15/2023 4:30:00 PM,4103.0,4092.14,0.10%,-7.51%,74.90%,-0.07%,1.01%,2.26,18282.83,-0.31%,4.40%,9.36%,22.10%,-6.65%,7.62%,1.43%,1.69%,2.3,0.81,0.99,0.86,1.80%,3.99%,11.00%,-6.63%,32.81%,57.91,0.53%,-1.58%
118,CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,27558.65,73.74,68.36,0.90%,2071037,49.14,3.69,12.63,4.02,5.55,62.15,25.10%,27.85%,21.90%,20.00%,17.70%,,4.70%,5.90%,4.20%,13.9,13.9,0.14,0.14,81.00%,20.70%,16.90%,4/25/2023 4:30:00 PM,404.19,402.42,0.80%,-1.47%,99.41%,4.31%,1.23%,2.25,2201.8,0.31%,-2.84%,-8.73%,-8.12%,2.06%,-11.54%,1.44%,1.91%,1.8,0.94,0.88,1.34,1.19%,-5.17%,-6.51%,-19.93%,27.76%,46.2,0.89%,0.01%
119,CSX,CSX Corporation,Industrials,Railroads,USA,60413.75,15.41,30.02,2.49%,18372697,14.76,1.69,4.07,4.94,28.95,22.94,16.00%,8.89%,22.10%,9.13%,5.40%,1.47%,10.10%,32.20%,15.60%,1.6,1.4,1.42,1.43,71.00%,40.60%,28.00%,4/20/2023 4:30:00 PM,2076.0,2045.7,0.29%,0.00%,76.00%,-2.25%,0.92%,1.36,13921.5,1.76%,-0.83%,-2.88%,7.91%,-14.89%,-3.10%,2.13%,2.34%,2.1,1.32,1.23,0.68,2.91%,-0.93%,-1.75%,-21.35%,16.36%,53.82,2.32%,0.17%
120,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,45927.39,36.23,451.73,-0.00%,238854,31.76,2.99,5.34,13.38,511.44,,13.80%,10.75%,22.80%,12.11%,8.10%,1.02%,,,21.70%,1.9,1.5,0.72,0.85,,,,3/29/2023 8:30:00 AM,101.64,86.25,0.50%,-3.52%,66.40%,0.61%,1.43%,3.5,352.51,-3.40%,2.85%,4.20%,9.66%,4.71%,0.02%,1.36%,1.97%,2.4,0.68,1.34,8.89,1.81%,2.33%,6.22%,-3.93%,31.37%,54.33,0.05%,-0.05%
121,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,11097.36,28.74,64.95,5.40%,1854502,18.45,3.97,2.33,2.39,23.61,,-9.20%,11.78%,26.70%,7.24%,18.40%,,3.90%,8.60%,7.40%,1.9,1.4,0.86,0.99,32.70%,13.80%,8.60%,2/7/2023 8:30:00 AM,181.0,179.31,0.50%,-0.56%,,-7.58%,3.71%,2.88,2310.4,0.43%,-6.94%,40.68%,-19.81%,-42.25%,44.30%,3.79%,4.19%,2.1,0.8,1.18,2.84,-1.95%,-1.32%,-11.38%,-43.69%,59.62%,48.82,5.54%,-0.13%
122,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,19521.54,4.91,24.94,-1.85%,5165609,8.23,,2.16,1.54,29.01,5.65,121.00%,16.30%,79.40%,-11.26%,38.70%,10.02%,19.90%,33.00%,27.80%,1.9,1.8,0.17,0.17,88.50%,57.90%,44.80%,2/22/2023 4:30:00 PM,781.0,760.56,0.10%,-3.19%,97.40%,0.60%,4.88%,3.93,9433.35,3.74%,0.66%,6.96%,-10.38%,1.04%,3.04%,2.23%,3.41%,2.7,0.55,0.24,0.79,3.68%,2.63%,-4.77%,-28.18%,12.09%,55.43,-1.07%,-0.79%
123,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,30893.95,13.68,60.42,-0.40%,3211884,12.45,2.49,1.59,2.51,12.35,18.48,9.00%,8.88%,4.40%,5.50%,5.60%,1.92%,13.10%,19.00%,17.30%,2.2,2.2,0.05,0.05,35.90%,15.30%,11.80%,2/2/2023 4:30:00 PM,512.0,507.88,0.10%,-0.64%,93.50%,-0.42%,1.21%,1.31,4698.57,1.02%,-1.80%,4.95%,-0.35%,-30.39%,5.65%,1.75%,2.04%,3.1,0.68,1.1,1.21,2.06%,-3.88%,-3.31%,-32.35%,17.71%,49.72,0.05%,-0.45%
124,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,43269.49,36.29,59.8,-1.52%,3045861,17.24,2.69,2.48,1.69,13.05,,-31.90%,20.49%,-13.20%,13.49%,4.40%,1.00%,2.80%,4.50%,5.20%,1.6,0.9,0.05,0.05,40.20%,9.10%,6.60%,5/3/2023 4:30:00 PM,714.8,711.24,0.19%,3.01%,83.30%,-0.08%,0.84%,1.67,3591.15,-0.25%,-3.86%,1.29%,-2.80%,2.61%,1.74%,1.43%,2.15%,2.2,0.85,0.8,1.32,2.04%,-1.86%,-1.29%,-12.61%,19.53%,50.27,-1.11%,-0.41%
125,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,99839.73,24.84,77.54,-0.27%,8777119,8.55,4.23,0.31,1.43,6.35,9.47,-47.30%,2.87%,-8.90%,5.87%,11.80%,3.12%,1.80%,5.70%,5.10%,0.9,0.7,0.71,0.74,38.90%,2.40%,1.30%,5/3/2023 8:30:00 AM,1309.0,1278.2,0.10%,-9.65%,80.70%,0.59%,1.00%,1.38,9285.62,3.80%,-2.84%,-14.27%,-22.81%,-22.04%,-16.79%,1.74%,2.02%,2.2,0.95,0.6,1.48,3.25%,-5.11%,-16.56%,-28.02%,7.54%,50.41,-0.53%,0.26%
126,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,323906.49,9.18,167.65,-1.31%,5797437,11.39,,1.37,2.01,18.09,12.15,124.60%,1.90%,37.10%,-7.68%,11.80%,3.60%,13.80%,23.00%,15.20%,1.5,1.2,0.13,0.15,38.30%,17.80%,15.00%,4/28/2023 8:30:00 AM,1908.43,1896.06,0.08%,-20.05%,72.00%,-0.66%,0.82%,1.72,9005.36,3.24%,2.86%,-4.33%,5.75%,2.63%,-6.60%,1.45%,2.59%,2.6,0.64,1.15,3.99,5.01%,1.66%,2.11%,-11.61%,26.49%,58.67,-1.02%,-0.30%
127,CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA,9859.63,,45.29,-1.16%,2105450,18.93,,0.91,2.61,9.5,428.68,48.90%,160.96%,-33.50%,27.50%,48.90%,,-2.60%,-24.00%,5.80%,0.8,0.8,6.81,6.83,47.40%,15.30%,-8.30%,5/2/2023 4:30:00 PM,214.0,213.66,0.40%,2.96%,96.50%,-1.10%,3.21%,2.24,3054.63,-3.37%,-15.11%,6.64%,17.58%,-41.30%,8.87%,4.31%,4.48%,2.2,0.69,2.89,2.15,-0.22%,-9.00%,-0.48%,-40.23%,44.65%,44.56,-1.09%,-0.07%
128,D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,47951.76,54.72,58.06,1.13%,3196983,15.19,9.77,2.79,1.85,,,-66.10%,-3.85%,-20.40%,5.60%,6.40%,4.60%,0.90%,3.40%,2.10%,0.7,0.6,1.49,1.75,99.70%,9.30%,5.20%,5/5/2023 8:30:00 AM,833.8,832.12,0.14%,-0.56%,72.40%,1.50%,0.82%,1.41,4833.01,4.26%,5.64%,-5.53%,-15.87%,-32.56%,-5.32%,1.78%,2.34%,2.8,0.66,0.45,1.2,5.77%,1.43%,-14.25%,-34.60%,11.60%,62.03,0.43%,0.70%
129,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,21455.81,16.44,33.69,0.69%,6282180,4.89,0.52,0.42,3.26,3.28,4.78,370.70%,28.89%,-16.20%,31.66%,4.20%,,1.80%,29.40%,10.00%,0.5,0.4,3.14,3.5,43.10%,7.00%,2.60%,4/13/2023 8:30:00 AM,641.24,639.0,0.20%,-2.53%,67.50%,-1.82%,3.08%,1.95,10107.64,-1.23%,-15.20%,-4.37%,10.39%,-13.68%,2.53%,2.29%,3.11%,1.6,0.62,1.25,1.06,-0.77%,-8.48%,-0.36%,-27.19%,23.86%,43.76,0.33%,0.36%
130,DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,USA,32248.89,34.61,69.64,-1.02%,2888356,15.91,2.58,2.48,1.25,6.5,,-4.90%,16.10%,26.40%,13.44%,2.20%,2.07%,13.40%,22.70%,3.90%,3.0,2.4,0.29,0.3,35.50%,13.60%,45.10%,2/7/2023 8:30:00 AM,477.2,453.54,0.10%,-0.18%,75.00%,0.18%,3.19%,4.51,3205.18,-1.40%,-3.41%,-1.74%,27.87%,-4.60%,1.47%,1.85%,2.15%,2.2,0.9,1.42,1.56,-0.04%,-3.75%,8.65%,-11.17%,40.63%,45.31,-0.49%,-0.54%
131,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA,110773.01,13.71,369.65,-1.12%,1846780,11.51,1.0,2.0,5.16,27.86,32.36,22.60%,5.32%,28.40%,13.70%,11.90%,1.35%,9.30%,41.20%,11.00%,,,1.64,2.53,34.20%,20.70%,14.80%,2/17/2023 8:30:00 AM,297.6,295.7,0.10%,-9.74%,78.50%,-2.24%,0.90%,1.7,1569.74,-8.43%,-12.88%,-10.87%,3.90%,-10.65%,-13.79%,3.34%,2.72%,2.1,1.18,1.05,11.24,-6.98%,-9.77%,-3.82%,-17.56%,30.25%,34.39,-0.68%,-0.44%
132,DFS,Discover Financial Services,Financial,Credit Services,USA,25262.07,6.28,97.02,-0.39%,1770004,6.86,,1.96,1.94,2.85,4.03,-13.20%,4.56%,21.10%,,5.90%,2.47%,3.60%,33.20%,21.70%,,,1.2,1.49,,67.20%,33.50%,4/19/2023 4:30:00 PM,271.0,257.47,0.50%,-2.16%,85.00%,-1.39%,1.89%,1.93,2522.29,-1.12%,-12.28%,-2.54%,0.35%,-12.40%,-0.83%,1.74%,3.04%,2.5,0.7,1.43,2.97,-0.09%,-9.56%,-5.42%,-19.93%,10.70%,42.42,-0.52%,0.13%
133,DG,Dollar General Corporation,Consumer Defensive,Discount Stores,USA,46454.26,19.89,212.44,0.20%,1094676,16.92,2.28,1.23,8.48,121.74,,4.90%,11.68%,18.90%,8.71%,10.00%,1.11%,8.50%,40.60%,20.90%,1.3,0.1,1.26,0.0,31.20%,8.80%,6.40%,3/16/2023 8:30:00 AM,221.29,217.95,0.10%,0.74%,94.10%,-3.48%,2.18%,2.31,2053.03,2.29%,-2.40%,-13.44%,-12.47%,-7.38%,-13.73%,1.43%,1.93%,2.2,0.53,0.32,3.93,0.72%,-3.50%,-11.26%,-18.98%,15.93%,48.11,0.97%,-0.76%
134,DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,USA,15953.98,18.05,142.88,-0.30%,886206,15.52,,1.61,2.74,50.65,15.81,-48.60%,5.60%,11.00%,-7.74%,6.00%,1.99%,7.10%,15.10%,11.70%,1.2,1.1,0.68,0.68,35.10%,14.40%,9.50%,4/27/2023 8:30:00 AM,113.0,110.08,0.20%,-25.08%,95.00%,-1.33%,2.73%,2.51,1195.36,2.58%,4.50%,-7.52%,11.83%,6.89%,-8.67%,1.39%,1.91%,2.6,0.74,0.94,2.55,4.38%,1.36%,2.54%,-9.76%,18.67%,59.16,-0.13%,-0.17%
135,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA,33443.39,5.93,95.64,-1.80%,3569568,10.16,,0.99,1.63,12.91,31.03,44.60%,3.38%,43.20%,-9.70%,18.90%,1.05%,19.50%,30.50%,23.20%,,,0.18,0.28,30.90%,22.00%,16.80%,4/20/2023 8:30:00 AM,344.2,302.33,0.60%,-1.76%,87.30%,0.09%,4.47%,4.51,3001.26,0.43%,1.97%,3.61%,31.36%,29.16%,7.29%,2.17%,2.63%,2.4,1.19,1.53,2.35,-0.84%,-0.27%,16.00%,-8.16%,61.42%,48.92,-1.50%,-0.30%
136,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,180599.38,25.56,246.96,-0.30%,2042866,22.3,7.71,5.74,3.72,30.13,27.58,13.70%,10.50%,25.70%,3.31%,15.20%,0.44%,8.60%,15.60%,11.20%,1.9,1.5,0.39,0.41,60.20%,27.60%,22.60%,4/25/2023 8:30:00 AM,729.0,648.17,0.20%,-3.38%,81.00%,-0.22%,0.53%,1.33,2593.17,-1.14%,-0.32%,-3.24%,-12.52%,-14.06%,-6.96%,1.56%,1.95%,2.0,0.79,0.8,4.84,0.22%,-2.30%,-6.49%,-18.72%,5.67%,46.58,-0.58%,0.29%
137,DIS,The Walt Disney Company,Communication Services,Entertainment,USA,182516.23,54.99,99.97,0.06%,7036901,18.11,2.54,2.16,1.9,21.55,1941.66,57.80%,33.30%,-21.00%,21.64%,8.50%,,1.60%,3.50%,3.30%,1.0,0.9,0.47,0.5,33.40%,7.50%,3.90%,2/8/2023 4:30:00 PM,1825.0,1821.56,0.06%,-5.28%,65.00%,2.25%,0.98%,1.68,10625.24,1.91%,0.67%,8.76%,-0.82%,-26.29%,15.07%,1.59%,2.18%,2.0,0.66,1.3,2.13,4.32%,-1.68%,-0.95%,-25.36%,18.91%,56.43,0.63%,-0.57%
138,DISH,DISH Network Corporation,Communication Services,Telecom Services,USA,4530.67,2.43,8.77,2.81%,9192000,12.92,,0.27,0.26,1.73,12.42,-4.60%,-46.83%,15.30%,,3.00%,,4.60%,13.70%,3.30%,0.8,0.7,1.1,1.19,31.80%,12.30%,13.80%,2/23/2023 8:30:00 AM,530.85,251.08,0.40%,108.88%,82.90%,-0.81%,15.99%,6.09,6594.67,-2.66%,-21.70%,-41.61%,-41.69%,-72.35%,-37.54%,6.27%,5.64%,2.5,1.39,1.8,0.56,-6.08%,-25.50%,-41.74%,-74.01%,5.60%,35.63,2.69%,0.12%
139,DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,USA,26277.86,78.93,90.93,0.80%,2686036,71.71,49.33,5.6,1.56,185.32,,-80.90%,20.30%,2.70%,1.60%,13.80%,5.37%,0.90%,2.00%,1.50%,,,0.98,0.98,60.10%,11.50%,7.20%,2/16/2023 4:30:00 PM,289.4,287.34,0.11%,-3.18%,98.40%,0.97%,4.79%,5.97,2308.09,-2.72%,-14.05%,-7.29%,-8.15%,-37.89%,-9.31%,3.67%,3.61%,2.4,1.16,0.55,3.44,-6.89%,-13.34%,-17.92%,-40.76%,6.03%,36.83,1.03%,-0.23%
140,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,32896.11,20.69,149.04,0.23%,1404554,18.81,1.3,1.16,3.77,51.18,20.43,24.30%,19.45%,8.30%,15.86%,5.00%,,7.10%,19.20%,14.30%,1.5,0.2,0.39,0.0,31.50%,7.90%,5.70%,3/1/2023 8:30:00 AM,221.1,218.28,0.10%,4.20%,,1.30%,2.92%,2.76,2311.88,5.84%,5.17%,4.55%,4.40%,-4.30%,5.37%,1.46%,2.29%,2.5,0.61,0.66,3.3,5.48%,2.64%,-0.71%,-15.89%,19.46%,62.01,0.88%,-0.65%
141,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,USA,19971.28,19.48,141.57,-0.92%,945533,14.47,1.9,2.35,4.63,52.43,67.22,-4.10%,9.39%,11.00%,10.26%,4.50%,1.43%,9.90%,25.10%,14.50%,1.2,0.7,0.69,0.86,36.10%,16.20%,12.50%,4/26/2023 8:30:00 AM,140.32,138.08,0.20%,-11.64%,94.70%,0.44%,0.97%,1.5,891.23,-4.44%,-7.15%,5.32%,14.10%,-8.02%,4.55%,2.46%,2.60%,2.3,1.06,1.35,3.57,-1.70%,-4.90%,4.69%,-11.88%,23.65%,42.6,-0.51%,-0.42%
142,DOW,Dow Inc.,Basic Materials,Chemicals,USA,38684.52,8.75,54.66,0.04%,5021797,11.25,,0.68,1.87,9.95,7.08,-25.10%,50.43%,39.60%,-2.61%,5.40%,5.12%,7.40%,23.80%,11.60%,1.8,1.2,0.71,0.74,15.10%,9.90%,8.00%,4/25/2023 8:30:00 AM,709.3,702.78,0.10%,0.06%,65.60%,-4.55%,1.31%,1.76,5255.93,1.22%,-2.84%,3.31%,18.67%,-13.91%,8.47%,1.99%,2.39%,2.8,0.96,1.33,1.27,3.64%,-2.75%,5.17%,-23.94%,27.38%,53.02,0.51%,-0.48%
143,DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,USA,11629.8,26.33,330.58,0.67%,717002,22.28,2.29,2.56,,57.01,50.43,-7.50%,13.74%,16.50%,11.51%,10.20%,1.46%,27.40%,-10.70%,77.70%,1.5,1.3,,,36.30%,16.90%,10.00%,4/27/2023 8:30:00 AM,35.29,35.19,0.40%,0.81%,93.90%,-9.35%,4.22%,1.78,834.19,0.89%,5.91%,-2.43%,-1.36%,-15.49%,-4.57%,1.72%,2.17%,2.5,0.86,0.79,7.26,4.09%,0.23%,-7.00%,-22.48%,13.60%,57.43,0.51%,0.16%
144,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,18628.67,19.52,149.7,-2.20%,1282217,17.04,2.03,1.8,8.89,67.67,47.67,54.20%,10.53%,14.10%,9.60%,6.10%,3.23%,9.40%,45.60%,24.80%,0.5,0.3,0.97,0.98,19.60%,11.30%,9.20%,3/23/2023 8:30:00 AM,121.4,120.67,0.40%,-23.87%,92.00%,-1.09%,3.69%,3.46,1290.26,-2.72%,2.72%,3.74%,12.47%,15.58%,8.22%,1.40%,1.99%,2.0,0.99,1.23,2.82,-0.80%,0.74%,9.48%,-3.98%,34.91%,47.01,-1.38%,-0.83%
145,DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,USA,23110.41,20.65,113.85,1.53%,1753914,17.03,2.79,1.2,2.2,700.32,18.87,34.60%,7.05%,-0.80%,7.40%,8.80%,3.35%,2.60%,11.70%,5.80%,0.8,0.6,1.62,1.84,,9.10%,5.60%,2/23/2023 8:30:00 AM,201.0,192.24,0.20%,0.00%,75.50%,1.21%,0.89%,1.37,1250.41,4.75%,6.07%,-2.34%,-1.95%,-15.22%,-3.13%,1.70%,2.30%,2.0,1.4,0.61,2.36,6.06%,3.17%,-3.78%,-18.81%,13.13%,62.84,0.96%,0.57%
146,DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,USA,76170.44,20.39,99.74,0.91%,2879319,16.68,3.84,2.65,1.62,186.24,,-4.70%,6.16%,3.00%,5.30%,4.10%,4.03%,1.40%,5.10%,4.70%,0.7,0.5,1.42,1.59,65.00%,20.90%,8.50%,2/9/2023 8:30:00 AM,770.0,769.27,0.12%,-0.40%,64.40%,0.18%,0.94%,2.31,3135.71,3.72%,5.36%,-3.41%,6.08%,-11.36%,-3.16%,1.82%,2.15%,2.5,0.92,0.42,1.96,4.65%,2.63%,-1.09%,-14.26%,19.08%,61.27,0.49%,0.41%
147,DVA,DaVita Inc.,Healthcare,Medical Care Facilities,USA,7498.17,14.63,82.47,-0.57%,324141,11.68,,0.65,10.43,23.3,7.8,-35.90%,15.22%,10.70%,-1.70%,1.30%,,3.30%,83.20%,11.80%,1.2,1.2,12.2,12.53,29.30%,11.50%,4.80%,2/22/2023 4:30:00 PM,90.09,87.34,0.10%,3.22%,90.70%,-2.55%,3.65%,4.83,659.86,3.89%,3.89%,5.06%,-7.61%,-27.80%,10.45%,1.89%,2.45%,3.0,0.49,0.93,1.85,6.00%,2.29%,0.86%,-33.92%,26.33%,61.34,-1.06%,0.49%
148,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,35008.43,5.8,52.91,-1.16%,6233687,7.54,,1.83,3.07,24.08,13.42,118.00%,2.21%,94.00%,-4.02%,24.10%,9.56%,25.80%,57.50%,34.90%,1.3,1.2,0.58,0.6,55.30%,41.60%,31.10%,2/14/2023 4:30:00 PM,648.0,647.71,0.40%,1.32%,80.70%,0.46%,2.93%,1.78,10617.9,6.14%,-1.56%,-10.83%,-22.89%,-4.62%,-12.78%,2.62%,3.62%,2.2,0.59,2.36,1.9,7.66%,-2.85%,-12.16%,-30.65%,20.17%,55.43,-0.60%,-0.56%
149,DXC,DXC Technology Company,Technology,Information Technology Services,USA,5671.64,8.43,24.74,-0.68%,1553432,6.18,0.97,0.38,1.23,2.71,10.97,562.80%,14.96%,39.00%,8.67%,16.40%,,3.80%,15.10%,8.80%,1.1,1.1,0.83,1.02,21.40%,7.20%,4.80%,2/1/2023 4:30:00 PM,229.54,226.41,0.50%,-5.41%,94.40%,3.89%,3.39%,4.58,1676.33,-1.28%,-9.74%,-10.56%,-9.41%,-19.60%,-6.64%,2.08%,2.96%,2.7,0.93,1.96,0.76,1.60%,-7.61%,-10.44%,-31.28%,10.15%,45.42,-0.76%,0.08%
150,DXCM,"DexCom, Inc.",Healthcare,Medical Devices,USA,43595.62,140.41,112.47,-0.31%,1834680,77.19,4.59,14.98,20.38,17.75,143.08,57.80%,39.96%,37.80%,30.60%,32.30%,,6.60%,16.20%,8.20%,2.0,1.8,0.59,0.95,65.20%,13.40%,11.70%,4/27/2023 4:30:00 PM,386.4,384.65,0.10%,-36.22%,98.80%,-0.35%,3.27%,5.11,2461.07,-1.69%,-0.24%,0.70%,23.48%,-12.88%,-0.68%,2.09%,2.91%,1.6,0.75,1.16,3.32,-1.51%,-0.33%,11.26%,-13.60%,68.14%,46.22,-0.04%,-0.27%
